source,algorithm,learning_rate,gamma,clip_range,n_steps,gae_lambda,vf_coef,tau,buffer_size,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
HalfCheetah-v5,0,0.003549048113006,0.897531690594688,0.1071229801445935,512.0,,,,,,-80.5976273666667,152.30993459864771,-294.8932679198011,73.85680845915682,214.2956405531344,3
HalfCheetah-v5,0,0.0003440071732675,0.8657664260550213,0.1700477391370415,1024.0,,,,,,851.6606960333332,164.54814860439046,-215.9797657865168,61.22532811430627,1067.64046181985,3
HalfCheetah-v5,0,0.0018475054826205,0.8754002809307699,0.1720767457756762,1024.0,,,,,,519.5006463666667,122.73883614078753,-329.6144189723832,54.87659799266414,849.1150653390499,3
HalfCheetah-v5,0,0.0004528228756244,0.9713707326153376,0.2017727311154218,512.0,,,,,,749.7401780333333,186.21458290907125,-134.1575067740197,50.08296013031136,883.897684807353,3
HalfCheetah-v5,0,0.0001819387463842,0.8942531823711718,0.2929043412332721,512.0,,,,,,639.2655414000001,324.8091169959806,-281.086255984759,76.4778542194784,920.3517973847592,3
HalfCheetah-v5,0,0.000121626463961,0.8923208768604375,0.1965536409536008,128.0,,,,,,589.4722257333333,305.53068022820577,-289.7033057869675,95.97693822208667,879.1755315203009,3
HalfCheetah-v5,0,0.0001252410796261,0.8699014539749399,0.1982663989851078,128.0,,,,,,702.9168212000001,186.07918143374167,12.395619820899688,58.16682804827826,690.5212013791005,3
HalfCheetah-v5,0,0.0074445366223603,0.8248064281297869,0.2136970251003065,512.0,,,,,,-224.11717096666663,173.82186851490997,-411.7131337261599,92.81327364049834,187.5959627594933,3
HalfCheetah-v5,0,0.0035886161017392,0.9775712406198076,0.2639640029557225,128.0,,,,,,-38.140549766666666,69.0979770919488,-492.2267534827,119.26956632779088,454.08620371603337,3
HalfCheetah-v5,0,0.0001891417806143,0.904285542064478,0.129769126689748,128.0,,,,,,621.6927619666667,229.94118609764595,-224.52587016894324,84.81687084747846,846.2186321356099,3
HalfCheetah-v5,0,0.0001069667966494,0.9558665574282164,0.2246318250142865,128.0,,,,,,507.9039435666666,62.16597172565131,-300.381440586566,96.67077942470574,808.2853841532327,3
HalfCheetah-v5,0,0.0042891735829551,0.834534405229025,0.1393503279428614,2048.0,,,,,,270.88262,134.98566305306304,-247.6750309261244,89.64711878719724,518.5576509261243,3
HalfCheetah-v5,0,0.0061332391461365,0.9262981862319783,0.2383891726045868,128.0,,,,,,-488.6486082999999,91.70949131941823,-581.4162029524181,46.17011492674576,92.7675946524182,3
HalfCheetah-v5,0,0.000725731852095,0.8439705344639583,0.2810861013555333,512.0,,,,,,760.0889466666666,250.57556671087332,-342.51902790376045,50.12949785704982,1102.6079745704271,3
HalfCheetah-v5,0,0.0047262678642628,0.8908555528686765,0.2149799933553313,2048.0,,,,,,98.5373378,199.58240291430877,-356.716978153462,59.86150266161559,455.2543159534619,3
HalfCheetah-v5,0,0.0017958737332502,0.9974392427214815,0.244647528384085,1024.0,,,,,,-105.00558606666668,156.19642319323208,-314.4220732924789,68.84238133670094,209.41648722581215,3
