learning_rate,gamma,batch_size,tau,buffer_size,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,epilen_ratio
0.0027148707933812,0.9144218441224514,256,0.0071033309722165,100000,2.0,0.0,9.75,1.3738631664034089,7.75,3.25
0.0001431027497253,0.9555120499510608,256,0.0061667095225969,10000,788.75,292.3495980842115,313.35,24.269888751290143,-475.4,0.3970727998479377
0.0066512133300046,0.8110367756783391,128,0.0055845584701918,1000000,2.0,0.0,10.15,1.6815171720800235,8.15,3.3833333333333333
0.0001356437950439,0.8632667840691688,128,0.0067850051633345,1000000,217.3,21.762582567333315,627.65,48.68703626223309,410.35,2.875171781951442
0.0019826267802531,0.8424346049209047,128,0.0066720857897413,100000,2.0,0.0,8.9,1.7,6.9,2.966666666666667
0.0009180757011886,0.9176383661536792,64,0.0081331716485585,10000,305.5,168.03109831218745,1000.0,0.0,694.5,3.2626427406199023
0.0002130338326256,0.9512117374608582,64,0.0068874431495363,100000,182.6,11.943198901466891,472.0,37.44596106391182,289.4,2.570806100217865
0.0051148863279122,0.9278263639354144,128,0.0076846456300186,10000,2.0,0.0,8.45,1.6874537030686203,6.449999999999999,2.8166666666666664
0.0036838692833015,0.927382673372787,128,0.0090402197148403,100000,2.0,0.0,8.85,1.5256146302392355,6.85,2.95
0.0001229794636371,0.9308382954052898,256,0.0092768637048998,100000,921.85,234.47820261167132,252.2,13.12097557348538,-669.6500000000001,0.2735506263897174
0.0001650349131489,0.8276291250835625,256,0.0088192217764466,100000,70.7,2.5709920264364885,171.9,16.908281994336384,101.2,2.397489539748954
0.0007252608563738,0.8662672855356112,64,0.0081077559725394,1000000,2.0,0.0,9.6,1.5620499351813308,7.6,3.2
0.0004355780231797,0.8115290225556694,128,0.0093525044396735,10000,1000.0,0.0,886.65,270.37220178857143,-113.35000000000002,0.8866499999999999
0.0007334492872511,0.9050415016114852,128,0.0097587836690851,10000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0001485898974874,0.9623997842073226,64,0.0059809317332087,100000,450.0,93.7437997949731,257.6,18.445595680270127,-192.4,0.5711751662971176
0.0001869966860348,0.8016862661200785,128,0.0088059222787815,100000,70.25,4.169832130913665,224.55,45.95701796243964,154.3,3.1515789473684213
0.0007990718452188,0.8224106100626493,64,0.0062264246882408,10000,2.0,0.0,9.0,1.51657508881031,7.0,3.0
0.0001045960972342,0.9459580978822772,64,0.0050335156675054,100000,93.05,2.011839953873071,228.25,28.349382709328964,135.2,2.426900584795322
0.0022871036316935,0.8296931987632293,64,0.0062957974271138,1000000,2.0,0.0,8.7,1.4866068747318506,6.699999999999999,2.9
0.0071019136329076,0.8745451049856803,64,0.0062748102315475,10000,2.0,0.0,9.3,1.4525839046333953,7.300000000000001,3.1
0.0002125090752024,0.9503109197752756,64,0.0072396012165283,100000,1000.0,0.0,1000.0,0.0,0.0,1.0
0.0006217098154171,0.987076871407797,64,0.007989849693532,100000,1000.0,0.0,895.0,210.0428527705716,-105.0,0.895
0.0001819714981054,0.8149761183460322,256,0.006161319064199,10000,149.2,9.431860898041275,246.65,40.13386973617171,97.45000000000002,1.6421438082556592
0.0060262728250741,0.8394211981663942,256,0.0068085278094202,1000000,2.0,0.0,9.15,1.5580436450882882,7.15,3.0500000000000003
0.0066669794970575,0.9086502118912684,256,0.0055416503059096,1000000,1000.0,0.0,1000.0,0.0,0.0,1.0
