learning_rate,gamma,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0056200453653875,0.8357496281955756,0.0026581533195049,0.1285084169193165,1000.0,0.0,1000.0,0.0,1,5805,0.0
0.0056200453653875,0.8357496281955756,0.0026581533195049,0.1285084169193165,1000.0,0.0,1000.0,0.0,2,34767,0.0
0.0008038338543502,0.8582357437049755,0.0056420282245044,0.1972717152126495,1000.0,0.0,1000.0,0.0,0,10372,0.0
0.0008038338543502,0.8582357437049755,0.0056420282245044,0.1972717152126495,1000.0,0.0,1000.0,0.0,1,79091,0.0
0.0008038338543502,0.8582357437049755,0.0056420282245044,0.1972717152126495,1000.0,0.0,1000.0,0.0,2,34249,0.0
0.0038327134211102,0.8150194805424396,0.0087951417155211,0.1223729773868951,97.1,1.0440306508910548,645.2,354.8041149705003,0,54787,-548.1
0.0038327134211102,0.8150194805424396,0.0087951417155211,0.1223729773868951,1000.0,0.0,1000.0,0.0,1,11321,0.0
0.0038327134211102,0.8150194805424396,0.0087951417155211,0.1223729773868951,1000.0,0.0,1000.0,0.0,2,62046,0.0
0.0002645787684173,0.8029132561855843,0.0048142950489184,0.1929394759254962,1000.0,0.0,1000.0,0.0,0,47260,0.0
0.0002645787684173,0.8029132561855843,0.0048142950489184,0.1929394759254962,1000.0,0.0,1000.0,0.0,1,37693,0.0
0.0002645787684173,0.8029132561855843,0.0048142950489184,0.1929394759254962,1000.0,0.0,1000.0,0.0,2,47355,0.0
0.0015519134830927,0.831738231464828,0.0029237269393082,0.018967629433686,1000.0,0.0,1000.0,0.0,0,8632,0.0
0.0015519134830927,0.831738231464828,0.0029237269393082,0.018967629433686,1000.0,0.0,1000.0,0.0,1,80976,0.0
0.0015519134830927,0.831738231464828,0.0029237269393082,0.018967629433686,1000.0,0.0,1000.0,0.0,2,8986,0.0
0.0002858429767991,0.8440187622867715,0.0058407112910528,0.1156145807553991,1000.0,0.0,1000.0,0.0,0,71207,0.0
