learning_rate,gamma,gae_lambda,vf_coef,train_reward,train_reward_std,test_reward,test_reward_std,seed_repetition,seed_value,generalization_gap
0.0034510182321171,0.8717008994456475,0.9169408936372035,0.7310003273870096,25.2,15.548633380461448,352.8,85.04798645470684,0,95502,-327.6
0.0034510182321171,0.8717008994456475,0.9169408936372035,0.7310003273870096,1000.0,0.0,1000.0,0.0,1,56695,0.0
0.0034510182321171,0.8717008994456475,0.9169408936372035,0.7310003273870096,91.3,64.75036679432789,1000.0,0.0,2,12035,-908.7
0.0003856425301954,0.8003097153080118,0.9460245220463374,0.6932713159408788,1000.0,0.0,1000.0,0.0,0,21526,0.0
0.0003856425301954,0.8003097153080118,0.9460245220463374,0.6932713159408788,853.3,69.4320531166982,1000.0,0.0,1,75542,-146.70000000000005
0.0003856425301954,0.8003097153080118,0.9460245220463374,0.6932713159408788,408.9,28.055124309116863,1000.0,0.0,2,86253,-591.1
0.0030106570599357,0.9982088984047044,0.967872096912209,0.8389970217650071,4.0,0.0,12.1,2.6248809496813377,0,42380,-8.1
0.0030106570599357,0.9982088984047044,0.967872096912209,0.8389970217650071,2.0,0.0,8.7,1.6155494421403511,1,28100,-6.699999999999999
0.0030106570599357,0.9982088984047044,0.967872096912209,0.8389970217650071,2.0,0.0,8.4,1.5620499351813308,2,35885,-6.4
0.0012786122455171,0.9597253987373656,0.939883154752174,0.3698930041570705,54.3,0.6403124237432849,127.6,14.92112596287559,0,15092,-73.3
0.0012786122455171,0.9597253987373656,0.939883154752174,0.3698930041570705,1000.0,0.0,1000.0,0.0,1,57449,0.0
0.0012786122455171,0.9597253987373656,0.939883154752174,0.3698930041570705,1000.0,0.0,1000.0,0.0,2,36908,0.0
0.0001230577297275,0.958129726242341,0.9833752756544109,0.2598021830429205,1000.0,0.0,1000.0,0.0,0,45837,0.0
0.0001230577297275,0.958129726242341,0.9833752756544109,0.2598021830429205,13.0,0.0,32.1,7.816009211867652,1,64887,-19.1
0.0001230577297275,0.958129726242341,0.9833752756544109,0.2598021830429205,1000.0,0.0,1000.0,0.0,2,16554,0.0
0.0055081197531504,0.8457617052613202,0.9672347570807244,0.728219397851526,2.0,0.0,8.6,1.9078784028338915,0,40953,-6.6
0.0055081197531504,0.8457617052613202,0.9672347570807244,0.728219397851526,4.0,0.0,12.3,2.72213151776324,1,19893,-8.3
0.0055081197531504,0.8457617052613202,0.9672347570807244,0.728219397851526,4.0,0.0,22.1,5.3188344587888805,2,83940,-18.1
0.0059416211726433,0.8964318399599592,0.9227229800689292,0.9123216500927628,4.0,0.0,13.5,3.3541019662496847,0,13689,-9.5
0.0059416211726433,0.8964318399599592,0.9227229800689292,0.9123216500927628,77.7,9.798469268207151,178.1,3.176476034853718,1,92398,-100.39999999999999
0.0059416211726433,0.8964318399599592,0.9227229800689292,0.9123216500927628,29.1,15.788920165736476,106.0,10.029955134495866,2,52984,-76.9
0.0003502374203275,0.9553289466430376,0.9175217708500268,0.4292655480379225,1000.0,0.0,1000.0,0.0,0,85564,0.0
0.0003502374203275,0.9553289466430376,0.9175217708500268,0.4292655480379225,1000.0,0.0,1000.0,0.0,1,93676,0.0
0.0003502374203275,0.9553289466430376,0.9175217708500268,0.4292655480379225,1000.0,0.0,1000.0,0.0,2,97977,0.0
