learning_rate,gamma,tau,ent_coef,train_reward,train_reward_std,test_reward,test_reward_std,generalization_gap,n_seeds
0.0013302423220209,0.9624630343109236,0.0060193426195399,0.1278442058847367,1887.3464042333333,28.79180064015134,-242.68450967690055,50.907465555732074,2130.0309139102337,3
0.0020317616336453,0.9485975141603372,0.0073880668887734,0.1439235688289734,1851.8165085333337,25.171830557796426,-62.26860928114456,39.255885455685466,1914.0851178144783,3
0.0001162265362412,0.8575677410970216,0.0010763677844481,0.1141511010529609,1011.1419023666667,20.25392580817741,-114.22198891935011,65.49576095813697,1125.3638912860167,3
0.002463389593815,0.8114621799085865,0.0066877579787918,0.101585763038007,1432.5988212,21.64789963103028,-108.76516049172108,60.981122638942985,1541.3639816917212,3
0.0002128949636171,0.81742427939422,0.0090112546137851,0.111499278550379,688.8359746000001,12.119696792435448,-47.31862068719918,12.034032884960311,736.1545952871992,3
0.0001884254559892,0.9810571843537864,0.0091539152621213,0.1899532331300003,1051.4753414000002,22.757603579160705,-140.58112576172547,38.09279568706672,1192.0564671617255,3
0.0063372648692748,0.8711298630946072,0.0098687213896926,0.0726244135865847,1810.9240768666668,23.27905595549522,-196.57263922579367,14.74776646136236,2007.4967160924605,3
0.0001078853563568,0.8344785450120937,0.0091525471159827,0.1838673990515016,243.35508430000002,111.32701343871305,-99.2598740444926,16.369167459607027,342.6149583444926,3
0.005271536759366,0.844764977339205,0.0039860567363709,0.0473352443550443,1792.9427534333336,28.79151191141504,-166.76309595988812,85.94751782132577,1959.7058493932216,3
0.0017187379292613,0.86994165445276,0.0039088632118226,0.1959293723346995,1232.0920833999999,144.85659489560774,-44.50736185841427,15.617912503526277,1276.5994452584143,3
0.000156319459065,0.9768064969796147,0.0080518288901857,0.1939938821909652,1004.9344659333333,28.803340882505392,-123.13245153978686,65.09500713029992,1128.0669174731202,3
0.0013084180471878,0.8187047404529523,0.0038796323865391,0.1290416440512843,949.5330457666668,368.6708801718523,-132.0823384346489,37.719626642418014,1081.6153842013157,3
0.0042665958660173,0.8520823804957053,0.003327450026942,0.1836473610185145,727.50612,10.871761795615653,-65.28159587499177,32.268217429734136,792.7877158749917,3
0.0060979328660723,0.9604359847271484,0.0078719958927508,0.078684125345557,1950.002780366667,28.029761867190857,-225.89805976180403,43.45313935577112,2175.900840128471,3
0.0005333526066898,0.8201636702643053,0.0070349564054292,0.0609485399466,1394.1938235999999,168.8913594168466,-125.36671629617244,37.415487331528226,1519.5605398961725,3
0.0003811048292812,0.8126170410019605,0.0020715014701786,0.0564558235894346,1041.1800287666665,251.91675504312968,-104.35883345571638,21.338487298370723,1145.538862222383,3
